comment_user,comment,comment_date,likes_number,replies_number
fre███nce███to_█████████,Too beautiful what are you doing beautiful?,2022-11-17T15:10:10.000Z,1,1
shr███_al███m,My love perpetuates you,2024-07-24T17:24:40.000Z,1,1
jou███ywi███rad███,My spot is booked and I’m SO excited 🙌,2024-09-02T18:13:30.000Z,1,1
hay███hom███,Thank you haboosh ❤️ im in love with it ♥️♥️,2021-07-21T10:02:38.000Z,1,1
bas███98,Vet man! Amazing travels 😎,2024-09-05T17:21:44.000Z,1,1
sou███sia███shi█████████ye,Love your fashion styles😍,2024-07-13T16:38:09.000Z,1,2
den███sha███int██████,Beautiful design,2021-10-18T16:58:25.000Z,1,1
nad███am,"Oh God, peace and blessings be upon our master Muhammad and his family and companions all 🤲🏻",2021-10-18T07:40:13.000Z,1,1
che███tsa███h,@mzynbwshnb,2020-03-15T18:14:41.000Z,1,1
nin███l1,The Palestinian eyes are the best thing 👀🇵🇸 ♥ ️🍉🔥,2024-06-18T17:17:20.000Z,1,1
lai███ya_███,La meow body,2023-11-17T03:16:43.000Z,1,1
jea███ate███,Happy to see you happy,2019-11-15T15:33:38.000Z,1,1
nba███slo███,🔥👏🔥👏🔥,2022-01-31T11:16:27.000Z,1,1
sam███esv███y,Piece of art 😍😍,2024-06-20T09:49:42.000Z,1,1
sar███aye███ish███,I wish the rest of the cancers,2019-03-30T22:23:54.000Z,2,1
ha_███roo███,"God willing, hand over the hands, what is the name of the red flower?",2023-10-28T13:06:42.000Z,1,4
suw███__,My love and my lover Amman,2024-07-31T11:26:10.000Z,1,1
cin███ewi███,❤️❤️❤️❤️,2024-07-30T21:24:03.000Z,1,1
a.s███iq,This is a Jews against Israel who live in Palestine and reject Israeli citizenship,2021-05-22T09:30:50.000Z,3,3
she███n_k███,I really created,2024-08-29T14:15:45.000Z,1,1
she███n_k███,"Bennnu, God willing",2024-08-29T14:15:41.000Z,1,1
jim███.na███leh███,Good luck,2024-04-01T21:18:44.000Z,1,1
can███nyb███s,Love it!!!!!!,2022-06-02T18:44:22.000Z,1,1
mab███she███,💯💯💯👍❤️,2020-10-04T07:54:55.000Z,1,1
_ba███rha███d_,🔥🔥,2023-10-22T10:17:01.000Z,1,1
dou███lqa███,"Morning victory and relief, Lord. 🇵🇸✌️🇵🇸✌️💪",2023-10-22T09:00:10.000Z,1,1
unj███dja███,I adore this!! You broke down this technique in such an accessible way 🥰🥰,2021-09-17T08:58:02.000Z,1,1
sar███oll███,This is absolutely exquisite. MashaAllah ♥️,2024-02-25T16:16:41.000Z,1,1
sar███os3███,God willing ❤️,2024-07-25T16:20:02.000Z,1,1
alk███i10███,"Good luck, God willing",2024-02-14T13:15:49.000Z,1,1
bor███gui███,ARRIVE LOGOOOO 🇮🇱,2024-05-08T23:26:22.000Z,1,1
__r███a_y███,My Shiite neighbor,2022-03-16T19:32:37.000Z,1,1
aid███bua███e,"Indeed, it's a healthy cake",2024-06-11T15:02:52.000Z,1,1
alz███nma███une███,"الزعتر ريحته بتحكي عنه..
كيف اللي بذوق الطعم..
ادماااان ..بشهي..💜",2024-02-19T08:01:36.000Z,1,1
cla███adi███,Beautiful and exciting 🙏🏼,2023-05-08T02:38:50.000Z,1,1
van███ara███_st█████████eza███,A cisco fell in my eye 😢,2023-09-22T16:00:06.000Z,2,1
fra███val███oti███,😍,2024-08-26T12:21:06.000Z,2,1
ini███obi███,Petra is like out of a fairytale. I would love to visit it 😍,2024-07-09T05:42:41.000Z,2,1
sar███n,@juliana_cosenza “eyesores like the Boulevard” tea,2020-09-06T18:10:21.000Z,1,1
mar███lla███gli██████,Absolutely agree with you 👋👏👏👏👏👏This is so charming place ❤️📸Enchanted!,2022-06-25T06:37:00.000Z,1,1
rak███sin███,🔥🔥,2024-09-16T17:19:52.000Z,1,1
she███e_g███,Dope as can be 🔥,2024-07-26T14:34:16.000Z,1,1
riz███ula███n,Awesome 😍,2024-07-25T08:54:35.000Z,1,1
kid███nds███,"Hello dear, I want to thank you for the beneficial info about sea bands. I used it yesterday when travelling on the plane n helped a lot👍👍",2019-03-28T16:38:15.000Z,1,1
nou███jad███,Jamalek❤️,2024-06-25T19:25:13.000Z,1,1
oli███yma███m,😍,2024-09-08T22:24:10.000Z,1,1
van███son███,🙌🙌🙌,2022-10-13T09:55:31.000Z,1,1
sha███_ab███hos███,"Bnnnnan Nour, give me Snapc",2024-08-06T12:46:53.000Z,1,6
fau███.m.███,🤲🕊🦋😔,2022-03-15T22:52:27.000Z,1,1
lhw███980███,👏👏👏,2024-06-12T21:07:30.000Z,1,1
yas███_fa███,@baraa_alkhateb,2018-11-24T15:18:43.000Z,1,1
jon███et_███,And we STILL don’t have universal healthcare or payed family leave. Some bs!,2023-10-25T05:39:05.000Z,7,1
noo███bra███.fa███,عاشت ايدج كلش حلوو 😍😍,2020-05-24T09:46:10.000Z,1,1
bas███a22███ead███,Good review,2023-11-06T05:49:19.000Z,1,1
als███iab███,"May God protect you, my brother",2024-08-22T20:58:05.000Z,1,1
sca███tts███der██████,This looks amazing! ❤️,2023-12-31T11:26:10.000Z,1,1
den███12,More provinces please!,2023-01-29T20:22:22.000Z,1,3
see███igh███,Hot Hot🔥🔥🔥,2024-08-13T18:04:22.000Z,1,1
chi███o_a███,Full of passion🖼️❤️✨,2023-11-10T13:07:41.000Z,1,1
mad███199███,Beautiful colors 🙌🙌,2023-10-21T17:53:52.000Z,1,1
mau███mor███_ar███,🙌👏👏👏,2023-10-18T17:52:41.000Z,1,1
cli███ech███ear██████,Beautiful ❤️,2023-10-18T12:40:17.000Z,1,1
ran███_mo███z,"Hadoul, you can see the Araris by being with them in our house, a bride to 8 dinars",2021-04-02T16:56:31.000Z,1,1
lab███te.███,😍❤❤,2024-02-24T15:27:36.000Z,1,1
str███art███ss,❤️❤️,2024-05-20T21:46:15.000Z,1,1
sha███maj███,🔥🔥❤️,2024-05-02T16:40:04.000Z,1,1
can███e,😍 😍,2024-08-19T07:50:25.000Z,1,1
heb███are███,😍😍😍😍😍,2024-08-17T18:29:31.000Z,1,1
bnt███urc███,Excellent pastor @Rubenssouzaalvomaior,2022-05-28T02:56:47.000Z,2,1
1hljk,I love voicing,2023-01-29T00:23:02.000Z,2,1
ele███ro,The packaging is stunning😍,2021-08-29T09:11:12.000Z,1,1
len███f_s███e,Wow! Amazing!,2023-12-06T18:09:01.000Z,1,2
duq███evd███,"But then again, The US probably never had in mind to stabilize and rebuild anyways…
@derekhudsonphoto Amazing life glimpses/images as usual!!",2021-08-22T11:38:29.000Z,1,4
duq███evd███,"Perhaps the reasons why the US never stays/rebuilds/learns has to do with America’s glorified hero culture, the cavalry coming guns blazing to save the moment, the “easy stuff”, so the aftermath -the “hardest part”- is irrelevant at a social psychology level, the purpose of invading is to keep feeding that self -serving image…",2021-08-22T11:30:10.000Z,1,1
amm███urr███ien███,❤️❤️❤️❤️❤️,2020-12-29T08:17:00.000Z,1,1
lit███wil███mal██████,soooo cute 😍💞💞💞,2020-12-12T15:59:48.000Z,1,1
moh███ad_███hat██████,👏,2024-06-19T13:59:23.000Z,1,1
the███ndo███,😍😍😍❤️,2024-07-23T15:14:46.000Z,1,1
ska███rrs███a,Bg sahby 🔥,2024-07-23T14:36:41.000Z,1,1
mar███vdp███,Are you walking the Jordan trail?!?,2022-11-02T16:13:50.000Z,1,3
tot███esa███,I miss it!!!,2022-10-17T22:10:49.000Z,1,1
cla███ama███lim██████,Also a beautiful and welcoming country! 👏👏👏,2024-05-03T13:50:11.000Z,1,1
ot.███f,🥹🇯🇴🇯🇴,2024-06-21T16:32:26.000Z,2,1
kun███abr███tud███,Gorgeous ❤️❤️❤️,2024-06-19T21:04:10.000Z,1,1
pre███hit███,"Only when the voting comes, you tell you what five things have been done in the taluka.",2024-10-28T05:56:32.000Z,1,1
isa███may███z,Que hermoso👏👏👏👏👏,2022-06-30T22:55:51.000Z,1,1
fay███gem███,كتير  فرق 😍,2024-10-09T18:04:15.000Z,1,1
zai███gh,Amazing work Tala,2023-08-19T15:39:54.000Z,1,1
ena███awa███h,❤️❤️❤️🙌🙌🙌🙌,2024-10-07T16:19:20.000Z,1,1
but███_fl███and██████,Beautiful 👏,2024-10-07T10:59:34.000Z,1,1
adi███arc███,From the river to the sea Palestine will be free 🇵🇸 we stand with Palestine ❤️🌱,2024-10-14T19:29:41.000Z,2,1
zik███_ot███9,🔥😍🔥,2024-06-17T18:12:20.000Z,1,1
zik███_ot███9,❤️❤️,2024-06-17T18:12:19.000Z,1,1
roq███_kh███,🔥🔥🔥,2024-04-11T07:41:12.000Z,1,1
sam███wam███,Wow Bravo 👏🏽👏🏽👏🏽,2024-01-12T15:43:52.000Z,1,1
ita███neh███,Come on 👏 ... very wonderful ❤️❤️❤️,2024-01-12T12:56:13.000Z,2,1
nin███teh███er,Looks amazing!,2022-12-01T10:47:01.000Z,1,1
lal███ilo███,"No no, the worst of all is that I was not 😂",2023-05-18T23:10:12.000Z,2,1
dia███ded███iaj██████,Wow😍,2023-05-18T10:51:08.000Z,2,1
raw███d,😍,2024-06-03T08:44:57.000Z,1,1
ale███nja███,😢😢 want to go here so bad @sueinjac,2020-06-19T05:23:31.000Z,0,1
gw_███ha,❤️❤️,2020-08-23T18:40:13.000Z,1,1
aju███rma███,Love it❤️,2023-02-02T11:13:09.000Z,1,1
nis███en_███a,Elegant 👏,2024-02-07T15:56:53.000Z,2,1
ade███add███i,🖤🤍💚❤️,2024-02-07T15:31:41.000Z,1,1
naj███ara███,Can your address,2024-04-10T11:45:22.000Z,1,1
naj███ara███,How much is the price,2024-04-10T11:45:16.000Z,1,1
nai███bhg███,Mashallah Hayati Beautiful ❤️,2023-08-26T16:23:24.000Z,2,1
vi_███gin███,"Hello, are you there in van?",2022-11-18T20:55:03.000Z,1,1
ala███meh███an,😍😍😍,2024-07-04T12:43:35.000Z,1,1
roo███suf███,Do you have any embroidery scarves,2024-02-02T18:10:31.000Z,1,1
nvd███5,Wow beautiful,2021-11-07T09:03:13.000Z,1,1
far███199███,@robertkhasho,2019-03-28T01:32:14.000Z,0,2
may███oma███,Ritow,2022-03-16T19:25:30.000Z,1,1
sky███rz,I will not find the most beautiful of you .. Your Lord is happy with your place 🤍💚,2024-04-16T14:16:34.000Z,2,4
oja███,They assassinated many influential media voices,2023-10-14T08:11:12.000Z,4,1
eu.███uma███s,Y sent! book,2022-08-28T22:37:09.000Z,1,1
fra███and███cha███,Was cozy next to you on the plane!,2024-09-05T12:52:28.000Z,1,1
alt███ban███oys███,Good Bro,2024-08-11T01:55:59.000Z,1,4
meg███ul_███ure██████,Woow was brutal bro 🔥🔥😮,2024-08-11T01:52:43.000Z,1,1
bqs███age███,Hot mama 😍😍,2024-07-13T15:42:40.000Z,1,1
raw███kas███sh,💚🙏,2021-10-18T06:32:23.000Z,1,1
_ch███.09███,My baii❤️,2024-06-16T15:54:38.000Z,2,1
ren███lo,"❤️🔥👏👏 May God protect you with the sweet voice, O Lord, Amen",2024-06-18T19:18:43.000Z,1,1
noo███dee███awa██████,❤️❤️❤️top 🔥🔥,2024-07-02T07:34:52.000Z,1,1
zai███ata███hhh███,🔥🔥🔥,2024-07-02T06:47:58.000Z,1,1
sae███uan███,🔥🔥,2024-07-02T06:03:18.000Z,1,1
sun███unn███ng,😍好有氣氛！好正啊！🔥😍,2024-07-23T13:34:12.000Z,1,1
mon███ajd███,Beautiful!,2021-09-02T09:23:19.000Z,1,1
ham███has███has███,😍😍,2022-01-25T12:36:21.000Z,1,1
kos███dee███,Thanks for dancing 🫶,2024-05-04T12:33:18.000Z,1,1
dr.███pho███rap███,God 😍😍😍😍,2024-07-30T19:17:28.000Z,1,1
ala███bda███di,How much is the price,2024-07-18T16:51:26.000Z,1,1
ola███ait███,How much are you,2023-12-28T09:06:43.000Z,1,1
tha███fit███,😂😂😂😂,2024-08-13T10:54:39.000Z,1,3
hud███lba███ly,😂😂😂😂😂,2024-08-12T13:28:01.000Z,1,1
ama███ck,Thanks for taking me along for my 2nd time (with your pics),2022-06-02T09:16:02.000Z,1,1
luu███raa███sco███,big guy🙌🏼,2024-06-23T14:37:38.000Z,1,1
ava███rk2███,marry me,2024-07-03T15:21:39.000Z,1,1
mar███oud███,My heart ❤️,2024-07-03T11:54:41.000Z,1,1
laq███tab███ey,Wow what an awesome experience. Thank you so much sharing this with us all ❤️❤️❤️❤️❤️,2024-06-23T23:18:46.000Z,1,1
mor███kjk███,Looking good 🔥❤️❤️,2024-09-01T19:28:14.000Z,1,1
rul███lba███,@samhalqaqa you are my loser 🌷 the most beautiful ❤️,2017-06-29T18:20:35.000Z,1,1
ana███inu███,Beautiful 😍,2023-01-11T02:20:56.000Z,1,1
jav███_es███26,😍👏👏,2023-01-10T17:40:53.000Z,1,1
yca███,Bellas 😍😍,2023-01-10T16:02:58.000Z,1,1
lrr███hio███,A unique and incredible experience. You are beautiful. Enjoy the fullest Bella😍,2022-11-13T23:33:03.000Z,1,1
han███ode███,Creative 👏👏👏👏,2024-01-31T00:12:37.000Z,1,1
vir███l.b███ar.███,Unique ❤️,2024-02-25T12:12:45.000Z,1,1
fin███ira███njo███,Beautiful 😍😍,2024-02-25T10:31:40.000Z,1,1
sal███abu███ma,🔥❤️😍,2024-06-27T17:26:29.000Z,1,1
mia███sa9███,👏👏,2024-07-25T21:31:01.000Z,1,1
had███_b.███tog██████,God willing,2024-07-25T20:31:25.000Z,1,1
mah███aza███,This is incredible work Haneen❤️❤️,2024-02-15T12:59:29.000Z,1,1
sab███avi███sta███,Looking forward to my turn ❤️,2024-05-08T16:11:14.000Z,3,1
dou███s_b███hty█████████,Incredible clarity 😎,2024-06-29T15:48:21.000Z,1,2
jus███n02███,why never take the wso place,2024-06-27T11:00:00.000Z,1,1
kur███ani███,Wow. So so clear when put that way ❤️,2021-05-26T22:17:46.000Z,1,1
ch.███ima███9,🔥🔥🔥❤️❤️❤️,2024-08-09T05:34:17.000Z,1,1
aid███bua███e,Hand in your hands,2024-06-11T15:02:57.000Z,1,1
dan███_o,كتير حلوة ومرتبه👏,2024-06-09T21:40:45.000Z,1,1
sal███afi███,Masterpiece 🔥,2024-07-03T04:47:58.000Z,1,1
lai███vis███s,🔥🔥🔥,2024-06-24T17:17:30.000Z,1,1
kan███ina███dle███,🎓🎓🎓🎓🎓🎓,2024-08-16T08:27:12.000Z,1,1
ihc███ffi███l,Hand over ❤️,2024-02-17T19:16:41.000Z,1,1
abb███viz███,👑 of instagram n the world,2023-02-26T18:56:34.000Z,1,1
ene███_,CHROME HEARTS,2023-02-26T17:48:37.000Z,1,1
far███lad███,"I tried the dry shampoo .. The problem is that I mean, I am washing my hair again, the day when I was an advantage.",2019-08-17T18:17:26.000Z,1,1
hab███yra███,"Thank you, I did not dare to ask you where it was 🤭",2024-06-11T17:28:08.000Z,1,1
hab███yra███,🇵🇸💕💕💕💕💕,2024-06-11T16:01:51.000Z,1,1
mar███xyz███,"Stop, where are you going? 🚀🌕😂💙💙💙",2024-08-26T14:47:14.000Z,1,1
ari███ina███pho█████████,Gawaya,2024-02-17T17:03:17.000Z,2,1
twi███in_███s,So U have started the Holy war. 🔥,2024-10-03T17:16:51.000Z,1,3
alt███__z███,🔥,2024-10-03T16:40:03.000Z,1,1
lar███nba███,"Can you send the private link, thank you for your efforts",2024-09-18T17:03:32.000Z,1,1
lin███sai███i,You can send the link,2024-09-18T15:03:31.000Z,1,1
ame███eha███,Magnificent 🤩,2024-04-14T17:07:24.000Z,1,2
red███ckf███,👏🏾👏🏾👏🏾,2022-08-03T21:12:45.000Z,1,1
zee███atz███,"Which, memories👏",2022-07-29T10:38:00.000Z,1,1
jjo███als███,My heart can’t take any more of this 🤢,2024-02-11T19:28:47.000Z,1,1
nut███ion███_su█████████hib███,Never seen hospitals doctors ICU s demolished under seige attacked doctors detained humilated its systemic destruction of a nation and its professionals i always say this if u are wounded in Gaza u cant get medical treatment if you die u cant get buried if you are buried u easily get dug up by Israeli brutal forces as dead bodies are stolen let alone journalusts and doctors targeted imprisoned or murdered horrific events unprecedented while the world watches and supports crimes committed,2024-02-10T18:43:52.000Z,2,1
gun███ff,That looks very nice. I like this reduced capture 😍❤️,2024-03-19T22:04:57.000Z,1,1
gre███ay_███les███,🤩,2024-08-02T07:11:38.000Z,1,1
__.███ez7███,Great ride 🚴🏽🚴🏽🫶🏻🫶🏻 happy new week Doc,2024-07-29T12:57:48.000Z,1,1
fol███ory███sig███,Lovely!!! Ya Layal ✌🏻,2024-01-30T20:28:37.000Z,1,1
jan███ady███,😍😍😍😍😍,2024-01-29T18:59:51.000Z,2,1
kas███nad███,Beautiful!!💕💕,2024-01-29T17:13:41.000Z,1,1
elkat,You beauty ❤️❤️,2024-01-29T15:01:18.000Z,1,1
ron███enf███,Awesome 💯🔝👏🏼👏🏼👏🏼,2024-08-27T16:03:36.000Z,1,1
ham███abd███ah_█████████,Beloved ❤️,2024-07-07T10:47:28.000Z,1,1
nun███ssa███,😍😍😍😍😍,2024-09-08T19:50:54.000Z,1,1
sig███.mi███,❤❤❤❤,2024-09-08T16:52:49.000Z,1,1
tam███.ha███h,A photo she will cherish forever.. يعطيكي العافية .. in love with this theme,2023-12-03T19:57:08.000Z,1,1
ali███lve███rch███,Congratulations!! For your birthday and for baptism! 🙌❤️,2023-02-19T20:46:28.000Z,1,1
che███.ar███,Wonderful episode guest and topic,2019-07-31T21:47:41.000Z,2,1
mds███des███mai██████,Nice group,2023-05-05T23:54:07.000Z,1,1
lai███.o,كتير حلوة💕💕,2024-05-29T22:59:12.000Z,1,1
tun███29,Judge of the gratitude6💕,2024-08-17T20:08:08.000Z,1,1
dan███lna███a3,The coitidates,2024-08-17T20:06:53.000Z,1,1
dun███ado███,@ibrahim.amaler,2020-05-24T07:05:03.000Z,1,1
ied███oli███,Unique moment of great emotion !!! 🙌 Thank you Pr Ely !!,2023-02-05T20:41:38.000Z,1,1
ran███mar███99,🤍🇵🇸🇵🇸🇵🇸,2023-11-05T17:02:55.000Z,1,1
smi███orm███g,❤️🔥,2024-08-13T18:04:50.000Z,1,1
sei███arc███,GLORY GOD !!!!!,2023-09-08T17:14:50.000Z,1,1
the███let███,Absolutely!,2021-10-21T10:06:43.000Z,1,1
yas███ne.███za,Wow!!!! This says so much,2021-10-21T09:02:44.000Z,1,1
jen███73,"These Jockey bras are amazing. I’m a 40DDD with implants so I always thought I had to wear an underwire bra, I was so wrong. Not only does the bra keep these babies where they belong but it’s so comfortable. I only bought 1 but I will be buying more. Thanks for the recommendation.♥️♥️",2021-08-10T16:03:34.000Z,1,1
sil███tra███,Did you get in the River? Big big fish when I was there. I was in and out pretty fast!!❤️😂,2022-12-09T01:29:56.000Z,1,1
yei███md,😍,2020-08-02T19:17:57.000Z,1,1
aha███s24███,🤩😘,2020-08-02T19:10:43.000Z,1,4
par███t,Wow,2024-05-25T07:12:27.000Z,1,1
rew███kan███,🔻🔻🔻🔻🔻,2024-02-05T07:24:17.000Z,1,1
fat███saa███,Rose as in Nadia 🌹? 😍😘,2019-08-02T00:19:53.000Z,1,1
nme███na1███,Queen of traveling ♥️,2019-08-01T22:41:15.000Z,1,1
sur███lsh███da,😍😍😍,2024-08-17T18:30:07.000Z,1,1
gab███ala███,Cute @shelly.shalom,2023-09-08T06:03:50.000Z,3,1
pab███hot███,Jealous as jealous gets. 🔥🔥🔥,2018-10-21T06:19:21.000Z,1,3
ri.███2,Singing more and singing it in a beautiful voice. And my Lord does not work. From him. 💕💕💕😭😭😭😭✨,2022-01-28T18:09:50.000Z,1,1
dgf███ry9███,😍😘😘😘,2024-01-28T11:36:27.000Z,1,1
flo███bex███oto█████████,Breathtaking indeed! That's a beautiful shot bro !,2024-08-02T15:34:54.000Z,1,1
lis███raa███,💛💛💛💛,2022-11-02T16:41:11.000Z,1,1
and███ett███37,Hey 3 more weeks then we are @vroni.dieamrheIfe @Madmast3r & @ahmed906827 also there,2022-10-17T22:41:47.000Z,1,1
mrs███na_███,What vibes 😮‍💨 dear!,2022-10-17T17:16:37.000Z,1,1
tra███cen███egy███,👏👏👏,2024-05-03T23:36:21.000Z,1,1
fed███eft███a,😍❤️ hand over your hands the best cake for the sweetest ownership,2024-06-26T19:00:03.000Z,1,1
rus███12,😍,2022-06-29T02:58:27.000Z,1,1
nav███,❤️❤️❤️,2022-06-28T21:26:50.000Z,1,1
ami███uck███,One of the dreams of seeing him,2024-07-22T06:19:53.000Z,1,1
aga███amb███ado███,"Duuuddde, looks unreal",2022-12-02T07:47:44.000Z,1,1
pia███pon███,What a dream!!!!!,2022-11-29T14:40:01.000Z,1,1
cor███hri███nso███,beautiful babes 😻,2021-11-30T03:18:25.000Z,1,1
fol███elf███ne,"My cousin, I am a journey on the Royal Jordanian Airlines with you, you will not be forgotten and the Prophet, Captain",2023-03-01T18:14:07.000Z,2,1
nag███sho███36,Captain ❤️ 😍,2023-02-28T15:42:15.000Z,3,1
sus███sen███7,🙌🙌🙌 Gloria to God,2022-09-10T00:33:26.000Z,1,1
san███mur███_2,Nazmi Habib My Heart ❤️,2024-04-20T01:23:05.000Z,1,1
tal███619███,Bakr with their eyes,2024-03-15T15:07:36.000Z,3,6
yaz███_mi███d,🙌🙌🙌,2024-09-16T08:40:49.000Z,5,1
sal███aww███,hm?,2024-07-12T11:49:14.000Z,2,1
ang███_10███,😍😍😍,2024-06-17T18:22:22.000Z,1,1
sro███nh,"And every year and you are fine, Lord, I am enlightened, honey",2024-04-11T10:05:33.000Z,1,1
ahl███lta███,"For war, creative and shine. What a beauty and the beauty of its meanings 👏❤️",2024-01-12T13:10:24.000Z,2,1
fat███yag███,Thanks for the useful information ❤️ But a question that is useful with something means for children with water or milk,2020-10-06T20:37:38.000Z,2,2
tas███m.m███aim███,@beeprotectors,2020-10-06T11:18:08.000Z,1,1
pum███ere███,yes ofcourse they’re right haha!! 😂,2023-01-19T20:11:22.000Z,1,1
dr.███rin███far███,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,2024-06-04T14:20:48.000Z,1,2
s0t███,Long live Ayidege,2020-08-23T21:22:24.000Z,1,1
s0t███,"Yama Shahlal Al -Aalal, my sister",2020-08-23T21:22:20.000Z,1,1
rah███240███,👏👏👏👏,2024-05-05T14:27:30.000Z,1,1
ma.███640███,"Sweet, Munawar Yamo",2024-08-06T21:05:33.000Z,1,1
nun███ssa███,😍😍😍😍,2024-02-08T17:17:31.000Z,1,1
jan███ad_███,Bastard,2024-04-09T17:25:04.000Z,1,1
dav███ari███,Petra I was also there on April 23rd,2023-10-03T19:19:45.000Z,1,1
tot███8,😍😍😍😍😍,2024-07-04T16:46:23.000Z,1,1
mai███.ra███un,How much is the price??,2024-04-08T18:34:05.000Z,1,1
saw███rad███,How much is the price,2024-04-07T12:22:23.000Z,1,1
lua███ari███se,How beautiful !! Too happy to see you married and friend of Jesus 😍🙌👏🏻,2022-09-21T23:12:13.000Z,1,1
har███tta███ha,@runnerkinglin you were looking for your next event 🏃🙈,2024-09-02T18:14:51.000Z,2,2
sal███hal███a,What beautiful pictures and memories. Thank you Ultra X. See you soon at the eighth event in a row.🔥🔥❤️,2024-09-02T18:02:37.000Z,4,1
thi███tos███co,Wow great shot 😍,2021-11-09T12:08:09.000Z,1,1
soh███ash███eh,Mabroukkkkkkkk,2022-03-17T13:37:33.000Z,1,1
ama███366███,God willing 🔥😍,2022-03-16T20:50:59.000Z,1,1
alj███lif███,Hijaz,2023-11-17T20:10:31.000Z,1,1
gha███ala███deh███,"Do a lot of medical intellectual (a culture based on a subjective reading of reliable medical information)? ........ Of course, the specialization is not medical, but in great interest in medical topics",2020-08-09T21:39:34.000Z,1,1
fel███abe███ds,Fucking vet lol,2024-09-05T16:53:50.000Z,1,1
dia███zia███,Amariiiii❤️❤️❤️,2024-07-13T13:47:25.000Z,1,1
ama███nna███,Beautiful as always 🙌,2021-10-18T08:17:11.000Z,1,1
cut███oy_███u14███,🔥❤🔥❤,2024-06-16T15:53:05.000Z,1,1
_nv███uez███,🔥🔥🔥,2024-06-19T02:20:13.000Z,1,1
yas███qar███ti_█████████hy,Barbie is the name of God 👏👏👏,2024-10-13T10:32:12.000Z,1,1
slh███19_███,Wednesday,2024-10-11T18:24:58.000Z,1,1
tte███wu,Can meet @mrs.tjhia here 🤪,2024-06-17T09:49:28.000Z,0,1
r__███mmr███,The fourth step is the original moon 😍❤️,2019-07-01T10:18:32.000Z,1,1
mon███nn,Why not the face too,2023-11-17T04:47:12.000Z,1,3
har███_91███sha██████,🙌🔥🙌🔥,2022-02-11T20:02:56.000Z,1,1
pet███rab███hni███,Beautiful 😍😍😍,2024-07-31T02:36:31.000Z,1,1
ros███a89███,❤️ Beginno,2023-11-18T18:32:17.000Z,1,1
alo███h,🤗🤗💚,2020-10-04T08:33:27.000Z,1,1
ama███ata███h,😘😘😘😘,2020-10-04T08:26:35.000Z,1,1
add███e.3███,omg your actually stunning 😍,2024-11-08T02:38:23.000Z,1,1
swa███751███,Good luck always ma'am in her business. And hopefully quickly can be a suitable companion and matches the mother.,2022-10-29T23:12:50.000Z,1,1
suk███ism███,,2024-03-16T19:23:23.000Z,1,1
mdh███r56███,🔥,2024-09-02T15:41:29.000Z,1,1
ibz███ow9███h,❤️,2024-09-01T16:15:14.000Z,1,1
nan███anj███,How beautiful,2023-01-10T15:48:05.000Z,1,1
ara███d,The colors are so beautiful and the artwork makes it complete ❤️,2024-04-14T20:11:52.000Z,1,1
mel███ia,❤,2024-03-13T10:34:11.000Z,1,1
lau███abr███,"You have to be very nice beautiful, enjoy it to the maximum 😍🌈🙏🌻❤❤",2022-11-12T19:01:58.000Z,1,1
key███uck███,Is you beautiful I say moving kludy😝,2023-04-05T16:20:14.000Z,1,1
neh███aia███,❤️😍🔥,2021-07-24T09:18:58.000Z,1,1
gab███art███gm,Very well photos,2022-08-05T04:23:42.000Z,1,1
ras███all███h,"I have a strong chili influenza with me, I could not move from the bed for 4 days with a very severe and heat cough, and the doctor described me only the love of cytamol because I am breastfeeding 😭",2019-12-24T19:43:19.000Z,1,1
rit███ria███esp██████,My heart is very worried here but I know that my God who took you will bring you in peace and security I love you. Hear heart ❤️ ❤️ ❤️ ❤️,2023-10-10T16:51:23.000Z,2,1
bei███gha███,OMG... I love it ❤️❤️,2024-04-05T23:24:29.000Z,1,1
jih███.de███n,Beautiful ❤️,2024-02-26T13:14:14.000Z,1,1
hjy███m,🔥🔥🔥,2024-06-22T12:04:05.000Z,1,1
ins███_ou███ith██████,You are incredible and we are thankful for you all,2024-02-14T15:58:51.000Z,2,1
hel███ari███80,"I already had this privilege of baptizing myself in the Jordan River, in a caravan with these people there !!! 
Congratulations Ernesto and her team for her professionalism !! 👏👏👏 Helium of Curitiba.",2024-05-08T19:18:44.000Z,1,1
iro███rds███c,nice,2024-06-28T05:08:05.000Z,1,1
fly███hed███,Sharppppp,2024-06-27T12:09:05.000Z,1,1
wel███t.s███io,👏👏👏 yes !,2021-05-26T09:00:29.000Z,1,1
zak███lou███i,😔,2022-03-17T21:37:09.000Z,1,1
tot███8,❤️❤️❤️❤️❤️,2024-08-08T18:53:06.000Z,1,1
nou███oun███,I want to visit this museum in Srping 😊,2024-01-27T17:40:50.000Z,1,1
han███ukh███a,🔥🔥🔥,2024-08-22T21:54:22.000Z,1,1
hus███.ha███din███,👏🔥❤️,2024-06-24T19:41:30.000Z,1,1
ran███oal███er,Invention,2023-08-26T18:12:58.000Z,1,1
kan███ina███dle███,Creative,2024-08-16T08:27:19.000Z,1,1
_r_███ha_███,"Amman ist like my second hometown, when I was little i used to spend every summer there. So your pictures made me wanna go to my jdi and teta immediately.  Your work is incredible, don't let anybody tell you otherwise!! 😍🥰✨",2021-08-25T15:53:41.000Z,1,1
